,Coordenadas_inicio,Coordenadas_fin,Minutos,Nombre_inicio,Nombre_fin
2568,"[39.48087562619528, -0.42477277938208513]","[39.463067458239806, -0.3670226170874306]",18.02102102102103,"Carrer de Tomás Sanz, Mislata","Carrer de Pere III el Gran, l'Eixample, València"
2569,"[39.449956327618246, -0.4018010863385486]","[39.48621535383808, -0.37407726275933423]",16.330297297297292,"Plaça Jardí de Wangari Maathai (Premi Nobel de la Pau), Jesús, València","Carrer del Filòleg Sanelo, la Saïdia, València"
2570,"[39.469945418049086, -0.4193419167956435]","[39.49869916140808, -0.4211214067336035]",17.977672672672675,"Avinguda de Blasco Ibáñez, Mislata","Senda del Secanet, Pobles de l'Oest, València"
2571,"[39.484999066040615, -0.3961502932972396]","[39.48945736997856, -0.3583427041825542]",11.750456456456458,"Avinguda de Pius XII, Campanar, València","Plaça d'Amparo Arce Miralles, Benimaclet, València"
2572,"[39.48750887307411, -0.35377629971283575]","[39.44518553324093, -0.39117340128267186]",21.641798798798803,"Camí de Farinós, Benimaclet, València","Plaça de Monsenyor Óscar Arnulfo Romero, Jesús, València"
2573,"[39.50381543918045, -0.3519253094319992]","[39.45129279176826, -0.3908681664198626]",38.12710510510511,"Calle del Cristo de la Providencia, Alboraia / Alboraya","l'Hort de Senabre, València"
2574,"[39.47606073380294, -0.4260509108093971]","[39.462428371839714, -0.3754884288833942]",15.444225225225226,"V-30, Mislata","Russafa, València"
2575,"[39.49137545412857, -0.3723345071873037]","[39.46568138828758, -0.384876900207462]",12.369549549549552,"Carrer del Pare Viñas, Rascanya, València","Carrer del Marqués de Zenete, Extramurs, València"
2576,"[39.47291922177073, -0.3466685755665407]","[39.497750135806285, -0.387981883318827]",18.97255555555556,"Avinguda de Blasco Ibáñez, Algirós, València","Carrer de Casas Ibáñez, Benicalap, València"
2577,"[39.45329142805377, -0.3661804852119404]","[39.48294455058567, -0.3714715625501782]",13.731348348348348,"Carrer de Sollana, Quatre Carreres, València","Carrer del Convent dels Carmelites, la Saïdia, València"
2578,"[39.49241385956951, -0.3960923515430399]","[39.4413648349397, -0.3360594934887031]",33.605855855855864,"Carrer de Sant Roc, Benicalap, València","Natzaret, València"
2579,"[39.44699344168825, -0.3821686736672381]","[39.48696726767401, -0.3856105813982973]",17.46312012012011,"Carrer de Fernando Senent Pérez (Catedràtic), Quatre Carreres, València","Avinguda de Portugal, la Saïdia, València"
2580,"[39.45092301354079, -0.3345534383926463]","[39.466245364489694, -0.3865007150914804]",20.08982582582582,"Carrer del Coll de Rates, Poblats Marítims, València","Carrer de Conca, Extramurs, València"
2581,"[39.479618770058586, -0.38883347875035756]","[39.46141419203615, -0.3345216596712958]",17.28793993993994,"Avinguda de Menéndez Pidal, Campanar, València","Carrer d'Abastos, Poblats Marítims, València"
2582,"[39.46437567081413, -0.3658951279514717]","[39.47561664889307, -0.424571547967748]",17.23367867867868,"Carrer de Joaquín Costa, l'Eixample, València","Avinguda de Carlos Marx, Mislata"
2583,"[39.47370398222422, -0.3824341429839708]","[39.449264678945426, -0.391827131671405]",10.51592792792793,"Carrer de Villena, Ciutat Vella, València","Plaça de Segòvia, Jesús, València"
2584,"[39.498905565224426, -0.3841868839615825]","[39.462262242180415, -0.37127489059695]",18.003786786786787,"Camino Viejo de Godella, Pobles del Nord, València","Plaça del Baró de Cortes, l'Eixample, València"
2585,"[39.48924906100733, -0.376173507729761]","[39.521275989566725, -0.38822690802729815]",11.693702702702703,"Avinguda de la Constitució, la Saïdia, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
2586,"[39.44463478450168, -0.39848964548394716]","[39.46981319144574, -0.3949312582398022]",10.908276276276275,"Camí Vell de Picassent, Jesús, València","Plaça d'Artur Piera, l'Olivereta, València"
2587,"[39.448079705492546, -0.37336731011775426]","[39.44714128774259, -0.33020159798814247]",15.957129129129132,"Plaça del Pintor Andreu, Quatre Carreres, València","Carrer de Santa Pola, Poblats Marítims, València"
2588,"[39.46540416962756, -0.37255822504460245]","[39.45224743195778, -0.40183005584130493]",11.699255255255256,"Gran Via del Marqués del Túria, l'Eixample, València","Plaça de Josep Melià i Castelló, Patraix, València"
2589,"[39.526155204062505, -0.38605672535783525]","[39.46197066755947, -0.36137539528682755]",24.67608408408408,"Camí de Benifaraig a Montcada, Pobles del Nord, València","Carrer de Lluís Oliag, Quatre Carreres, València"
2590,"[39.44786407925796, -0.379416510599347]","[39.50029445845267, -0.34711602186432244]",27.44936636636636,"Carrera de Malilla, Quatre Carreres, València","Passeig d'Aragó, Alboraia / Alboraya"
2591,"[39.48987991317389, -0.3780426161605341]","[39.47994259111791, -0.42545333810759917]",17.79894294294294,"Camí de Montcada, la Saïdia, València","Carrer de Sant Antoni, Quart de Poblet"
2592,"[39.45836516166804, -0.39131479986974765]","[39.473848684048114, -0.3322795918121895]",20.56385285285286,"Carrer de Franco Tormo, Patraix, València","Carrer de Ramon de Rocafull, Poblats Marítims, València"
2593,"[39.44803052520913, -0.3664927521993145]","[39.473226812364764, -0.3627856750248327]",11.912657657657656,"Carrer del Pintor Sabater, Quatre Carreres, València","Carrer de Galícia, el Pla del Real, València"
2594,"[39.50450436799507, -0.4219009101972269]","[39.463551164245196, -0.33818787235096337]",31.253984984985,"Carrer de Cullera, Pobles de l'Oest, València","Carrer de Peanya, Camins al Grau, València"
2595,"[39.48933544528217, -0.3750762453562739]","[39.456045658526726, -0.39640847067543233]",16.583102102102114,"Carrer de Sagunt, la Saïdia, València","Carrer de Campos Crespo, Patraix, València"
2596,"[39.4859446978277, -0.35537456886463303]","[39.41978573583446, -0.38513141442799625]",29.244105105105103,"Carrer de la Murta, Benimaclet, València","Avenida de Pep de l'Horta, Alfafar"
2597,"[39.44437115663224, -0.3333513231344301]","[39.45021424425697, -0.3874087672663812]",20.346135135135132,"Camí de la Punta a la Mar, Poblats Marítims, València","Carrer de Mora i Xaraba, Jesús, València"
2598,"[39.498651089228254, -0.35492821935435803]","[39.47982085875867, -0.3617724247419693]",24.88381081081081,"Carrer de la Pintora Aurora Valero, Alboraia / Alboraya","Avinguda de Menéndez y Pelayo, el Pla del Real, València"
2599,"[39.503342854086206, -0.418151681012747]","[39.465962712176825, -0.35895163750688486]",25.850273273273277,"Carrer de Pego, Pobles de l'Oest, València","Passeig de l'Albereda, el Pla del Real, València"
2600,"[39.47550438593172, -0.35946801607596074]","[39.525220401198084, -0.3877644875045969]",20.745276276276275,"Avinguda de Suècia, el Pla del Real, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
2601,"[39.468648481124035, -0.3457746085541145]","[39.506490081406575, -0.424521206205508]",30.425033033033035,"Carrer de Peris Brell, Camins al Grau, València","Benimàmet, València"
2602,"[39.47082878693034, -0.3474298173385879]","[39.46577329979112, -0.38612307688728076]",12.7343003003003,"Carrer de la Historiadora Sylvia Romeu, Algirós, València","Carrer de Salas Quiroga, Extramurs, València"
2603,"[39.50293637495475, -0.35025506429004816]","[39.449733140747554, -0.3969585182627564]",38.22471771771773,"Calle del Decano Sanfeliu, Alboraia / Alboraya","Avinguda de les Tres Creus, Jesús, València"
2604,"[39.47226576350211, -0.4180488405196405]","[39.49879763147703, -0.34974794266934567]",33.932756756756746,"Plaça de Joan XXIII, Mislata","Calle del Doctor Lanuza, Alboraia / Alboraya"
2605,"[39.49873474081511, -0.3907104134753145]","[39.46278636093696, -0.37677743509071016]",16.717771771771773,"Carrer de Salvador Cerveró, Benicalap, València","Carrer de Dénia, l'Eixample, València"
2606,"[39.467195982555474, -0.37039826477865606]","[39.492830843796014, -0.39243040931334794]",14.694732732732728,"Carrer d'Hernán Cortés, l'Eixample, València","Carrer d'Almiserà, Benicalap, València"
2607,"[39.473988658088054, -0.3655256950087939]","[39.476641770469044, -0.3971593434823827]",10.961105105105103,"Passeig de l'Albereda, el Pla del Real, València","Avinguda del Mestre Rodrigo, Campanar, València"
2608,"[39.494408530841554, -0.38645858443020076]","[39.45593616890379, -0.39858908197840187]",16.030822822822827,"Carrer del General Llorens, Benicalap, València","Safranar, València"
2609,"[39.50307629454208, -0.4441124080585561]","[39.50393001796275, -0.40874514359010355]",18.24960360360361,"Carrer Bonaire, Paterna","Calle Bautista Riera, Burjassot"
2610,"[39.4455682783098, -0.33321941237006153]","[39.47933050615456, -0.3597804980821361]",18.1027927927928,"Natzaret, València","Carrer d'Álvaro de Bazán, el Pla del Real, València"
2611,"[39.50133276411745, -0.35182976850560854]","[39.47045846198583, -0.32917627342957323]",18.364705705705717,"Carrer dels Germans Benlliure, Alboraia / Alboraya","Carrer del Pare Lluís Navarro, Poblats Marítims, València"
2612,"[39.53283211312176, -0.38836536734820026]","[39.4981920339452, -0.41636809060469243]",26.14447447447447,"Camí Fondo de Benifaraig, Montcada / Moncada","Carrer de Mossén Miguel Tarín, Pobles de l'Oest, València"
2613,"[39.475457299933844, -0.360326462303578]","[39.463466405168155, -0.3836709707464893]",10.103216216216218,"Carrer del Doctor Rodríguez Fornos, el Pla del Real, València","Carrer d'Albacete, Extramurs, València"
2614,"[39.48453759968374, -0.36579647466893916]","[39.45272909287617, -0.3348891279870005]",18.378939939939947,"Carrer de Jaca, la Saïdia, València","la Punta, València"
2615,"[39.46886029145783, -0.3463146391040378]","[39.49183250374502, -0.3722261978160176]",12.869030030030029,"Carrer dels Sants Just i Pastor, Camins al Grau, València","Carrer de Sant Joan Bosco, Rascanya, València"
2616,"[39.480269808446366, -0.4158649299131744]","[39.48847769898367, -0.36003237185870174]",22.39175375375375,"Camí de Favara, Mislata","Carrer de Francesc Martínez, Benimaclet, València"
2617,"[39.41518635606388, -0.3875540233217587]","[39.47740412902657, -0.3583866098206761]",30.0701951951952,"CV-412, Alfafar","Avinguda de Blasco Ibáñez, el Pla del Real, València"
2618,"[39.45232150768553, -0.38835388892860156]","[39.50135488169062, -0.3916930169128661]",19.626477477477486,"Plaça de Santiago Suárez ""Santi"", Jesús, València","Carrer de Vicent Canet, Benicalap, València"
2619,"[39.49752705971977, -0.3773372715562935]","[39.468809666190225, -0.41962758886797347]",24.40725225225227,"Carrer d'Alemany, Rascanya, València","Avinguda del Cid, Xirivella"
2620,"[39.46782155666278, -0.3844613062222706]","[39.526597178113214, -0.39238605834551865]",22.913444444444444,"Carrer de Conca, Extramurs, València","Camí Fondo de Borbotó a Massarrojos, Pobles del Nord, València"
2621,"[39.473758902168484, -0.38451521875501055]","[39.475829767306884, -0.3532061665882131]",12.204873873873876,"Carrer de Lepant, Extramurs, València","Avinguda de Blasco Ibáñez, Algirós, València"
2622,"[39.46207644627318, -0.3679151343791528]","[39.45870105373594, -0.3980693617502197]",11.078111111111111,"Carrer de Canals, l'Eixample, València","Avinguda de José Roca Coll (Pianista), Patraix, València"
2623,"[39.46279155105866, -0.36040699496004336]","[39.49103945174032, -0.34991027395658947]",16.410663663663662,"Carrer de l'Alcalde Reig, Quatre Carreres, València","Vía Xurra, Alboraia / Alboraya"
2624,"[39.47634109820558, -0.3592544287587585]","[39.50515226815777, -0.35079305145638423]",17.42052852852852,"Carrer d'Alfonso de Córdoba, el Pla del Real, València","Calle del Cristo de la Providencia, Alboraia / Alboraya"
2625,"[39.48052746943324, -0.3609326056816191]","[39.51443000979583, -0.3657040852778135]",17.854108108108104,"Carrer d'Álvaro de Bazán, el Pla del Real, València",[Desconocido]
2626,"[39.5091306697263, -0.415601224819979]","[39.5047090733845, -0.445005886252312]",16.78119219219219,"Calle Teodoro Llorente, Burjassot","Calle de Bétera, Paterna"
2627,"[39.44909505691507, -0.344109588268877]","[39.49736468932334, -0.3756562712747554]",21.57044144144145,"Avinguda de Jesús Morante Borràs, Quatre Carreres, València","Carrer del Llibrer Esclapés, Rascanya, València"
2628,"[39.46266909437167, -0.3386478149463559]","[39.475566743178504, -0.4212750867194205]",24.22257957957958,"Carrer de Felip Salvador, Camins al Grau, València","Carrer d'Antonio Molle, Mislata"
2629,"[39.44089067251417, -0.4055396401894798]","[39.45420482476331, -0.3940216832851793]",11.554453453453451,"Carretera de la Perrina, Pobles del Sud, València","Avinguda de Gaspar Aguilar, Patraix, València"
2630,"[39.463656851050935, -0.36834182074613603]","[39.495244822514756, -0.36402086347801144]",14.409435435435435,"Avinguda del Regne de València, l'Eixample, València","Carrer de Sant Vicent de Paül, Rascanya, València"
2631,"[39.41486316458114, -0.39285362700293847]","[39.467867191972076, -0.32869136628648327]",32.01123723723724,"CV-412, Alfafar","Carrer de la Reina, Poblats Marítims, València"
2632,"[39.459564435358075, -0.3761192586750368]","[39.47971814457138, -0.37445722561747696]",11.409210210210206,"Carrer del Literat Azorín, l'Eixample, València","Pont de Fusta, la Saïdia, València"
2633,"[39.49922716889971, -0.3880005541018789]","[39.468901568412434, -0.33935484573462493]",19.43287687687688,"Avinguda dels Germans Machado, Pobles del Nord, València","Carrer de Campoamor, Poblats Marítims, València"
2634,"[39.45644932827231, -0.38095991073186475]","[39.52193320727515, -0.3836338424588007]",26.865228228228226,"Enlace entre estaciones Valencia Norte y Joaquín Sorolla, Extramurs, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
2635,"[39.429332175698626, -0.38878254354566605]","[39.48783120161742, -0.39541685791963876]",26.193558558558557,"Avinguda del País Valencià, Sedaví","Carrer dels Amics del Corpus, Benicalap, València"
2636,"[39.4832721396622, -0.3817305440705885]","[39.457530591071155, -0.40523392726899193]",13.160954954954953,"Carrer del Pla de la Saïdia, la Saïdia, València","Carrer Argenters, Patraix, València"
2637,"[39.49066461669139, -0.3772170639787875]","[39.46038320474362, -0.36421453450124164]",13.428855855855858,"Carrer de Marie Curie (científica), la Saïdia, València","Carrer de Lluís Oliag, Quatre Carreres, València"
2638,"[39.42249984658735, -0.3970828246429299]","[39.47351395277355, -0.3899948354470055]",25.20083183183184,"Calle Mayor, Benetússer","Carrer de Sant Ignasi de Loiola, Extramurs, València"
2639,"[39.4797557109218, -0.34280712477672315]","[39.46118859958081, -0.3911498217900398]",16.772243243243246,"Camí de Vera, Algirós, València","Carrer del Beat Nicolau Factor, Patraix, València"
2640,"[39.4782994619006, -0.3793456639465195]","[39.462463683926934, -0.38195070272278875]",11.21722822822823,"Carrer de Sant Tomàs, Ciutat Vella, València","Carrer de Sant Vicent Màrtir, Extramurs, València"
2641,"[39.425024769433676, -0.39073970217350484]","[39.48122685723318, -0.357178565188734]",28.97015915915916,"Calle de Lepanto, Alfafar","Carrer de Vicent Barrera Cambra, Benimaclet, València"
2642,"[39.50281355582394, -0.3905151951219266]","[39.44714128774259, -0.33020159798814247]",30.06566666666667,"Carril bici Burjassot-Ronda Norte, Pobles del Nord, València","Carrer de Santa Pola, Poblats Marítims, València"
2643,"[39.45204265796869, -0.3574866693518165]","[39.45554468600464, -0.3950402899513686]",12.983243243243244,"Avinguda d'Antonio Ferrandis (Actor), Quatre Carreres, València","Carrer de Montesa, Patraix, València"
2644,"[39.48091003448286, -0.35997751984256793]","[39.45833927812623, -0.3784701984556159]",11.424006006006003,"Carrer d'Álvaro de Bazán, el Pla del Real, València","Plaça de Demetrio Ribes, l'Eixample, València"
2645,"[39.4716874443708, -0.4208608710246606]","[39.52538868345943, -0.3855832735848449]",27.72896696696697,"Carrer de Santa Cecília, Mislata","Camí de Benifaraig a Montcada, Pobles del Nord, València"
2646,"[39.41725335678068, -0.39504128594835397]","[39.48581474905832, -0.3984224672169967]",31.315726726726734,"Calle Ciudad de Calatayud, Alfafar","Sant Pau, València"
2647,"[39.468901999841016, -0.35436849333560294]","[39.47178972479637, -0.3910513966594587]",12.77981081081081,"Carrer de l'Actor Llorens, Camins al Grau, València","Carrer del Literat Gabriel Miró, Extramurs, València"
2648,"[39.47156505989951, -0.4234357490535419]","[39.469630446582975, -0.34507646795622826]",23.32735435435437,"V-30, Mislata","Carrer de Campoamor, Algirós, València"
2649,"[39.47410647462265, -0.41826360232912113]","[39.485858365236545, -0.37743143778323884]",14.061996996996992,"Avinguda de Gregorio Gea, Mislata","Carrer de Ruaya, la Saïdia, València"
2650,"[39.45567051018557, -0.4610394814330957]","[39.46827284818639, -0.43517167960175496]",12.714327327327329,"Carrer de Vicent Andrés Estellés, Alaquàs","Molí d'Animeta, Quart de Poblet"
2651,"[39.480962496625615, -0.35208387392127705]","[39.4716874443708, -0.4208608710246606]",23.817717717717724,"Avinguda de Catalunya, Algirós, València","Carrer de Santa Cecília, Mislata"
2652,"[39.492268723125186, -0.3720743944143017]","[39.45969963981131, -0.41277145935286097]",21.29006006006007,"Carrer de Sant Joan Bosco, Rascanya, València","Carrer EP Sector dels Gremis B, Patraix, València"
2653,"[39.50016669203209, -0.3658832469963033]","[39.45092301354079, -0.3345534383926463]",25.22887087087089,"Avinguda dels Germans Machado, Rascanya, València","Carrer del Coll de Rates, Poblats Marítims, València"
2654,"[39.484533304954844, -0.35510565371512287]","[39.45204265796869, -0.3574866693518165]",13.505390390390383,"Carrer del Músic Hipòlit Martínez, Benimaclet, València","Avinguda d'Antonio Ferrandis (Actor), Quatre Carreres, València"
2655,"[39.45870105373594, -0.3980693617502197]","[39.44571653797857, -0.33790994343654696]",22.34754954954955,"Avinguda de José Roca Coll (Pianista), Patraix, València","Camí Vell de la Punta, Quatre Carreres, València"
2656,"[39.465998097777515, -0.3992912926115833]","[39.490302907141526, -0.37527068971804456]",13.542849849849851,"Carrer del Músic Ayllón, l'Olivereta, València","Avinguda de la Constitució, la Saïdia, València"
2657,"[39.48933544528217, -0.3750762453562739]","[39.4507816887771, -0.3762032680079216]",18.602231231231237,"Carrer de Sagunt, la Saïdia, València","Carrer de Vicent Miguel Carceller (Periodista), Quatre Carreres, València"
2658,"[39.461918427607436, -0.37393938687160766]","[39.42184106653281, -0.38875937117824183]",18.433744744744743,"Carrer de Puerto Rico, l'Eixample, València","Calle de Isaac Peral, Alfafar"
2659,"[39.492394895218936, -0.38199724226633763]","[39.452453529018975, -0.3961925449369109]",17.02607807807808,"Carrer Doménec Gómez, Rascanya, València","Carrer de Juan de Garay, Patraix, València"
2660,"[39.51549667868266, -0.458177221872353]","[39.50525664554212, -0.41497724280723436]",21.12564264264265,"Calle de la Ciudad de Liria, Paterna","Calle General Prim, Burjassot"
2661,"[39.51047761478572, -0.422062131076877]","[39.50549108052265, -0.4406462875880262]",15.306165165165163,"Avenida del Primero de Mayo, Burjassot","Carrer Sant Francesc de Borja, Paterna"
2662,"[39.44396182749176, -0.3294766388866809]","[39.468624649048984, -0.3971083238763115]",27.184870870870864,"Natzaret, València","Avinguda del Cid, l'Olivereta, València"
2663,"[39.52500163656794, -0.41453157005250335]","[39.51503762399451, -0.4639805465014608]",20.16007807807808,"Carrer Pensament, Godella","Calle Villa de Madrid, Paterna"
2664,"[39.51799691869397, -0.38740448697052]","[39.46636963582915, -0.3521521128612406]",22.62288588588588,"Camí de Benifaraig a Montcada, Pobles del Nord, València","Avinguda del Port, Camins al Grau, València"
2665,"[39.49199742538856, -0.38216103469708956]","[39.462575228537986, -0.4090386154942659]",14.79078078078078,"Carrer Doménec Gómez, Rascanya, València","Carrer dels Llanterners, Patraix, València"
2666,"[39.45610332769069, -0.3698792053520132]","[39.44927016320101, -0.33358930176053686]",12.87798798798799,"Carrer dels Sapadors, Quatre Carreres, València","Carrer de Dalt de la Mar, Poblats Marítims, València"
2667,"[39.46953794999881, -0.35956403475811505]","[39.44979445177697, -0.3385953309437797]",14.078018018018014,"Avinguda d'Aragó, el Pla del Real, València","Carrer de les Barraques del Figuero, Quatre Carreres, València"
2668,"[39.502109378492975, -0.41664854447438154]","[39.464060108170415, -0.35150991216143335]",26.31101201201203,"Carrer del Mestre Plasència, Pobles de l'Oest, València","Carrer d'Astúries, Camins al Grau, València"
2669,"[39.48933544528217, -0.3750762453562739]","[39.45739855063225, -0.39424538369296613]",16.083285285285296,"Carrer de Sagunt, la Saïdia, València","Carrer de Xera, Patraix, València"
2670,"[39.47429880462275, -0.39632384564769435]","[39.45647607204995, -0.37234539076568657]",10.676582582582585,"Carrer de la Democràcia, l'Olivereta, València","Avinguda del Doctor Waksman, Quatre Carreres, València"
2671,"[39.46990564858309, -0.37920542869049306]","[39.47102277263202, -0.34439755222231505]",12.314150150150155,"Carrer de Padilla, Ciutat Vella, València","Carrer de Josep d'Orga, Algirós, València"
2672,"[39.46751512535775, -0.35590407061796336]","[39.49856377537548, -0.3874679786563727]",18.120780780780787,"Avinguda del Cardenal Benlloch, Camins al Grau, València","Avinguda dels Germans Machado, Benicalap, València"
2673,"[39.39955659785613, -0.3999319745940235]","[39.43229236870275, -0.42049959837660256]",18.237468468468474,"Carrer del Doctor Moliner, Catarroja","Carrer de Violant d'Hongria, Picanya"
2674,"[39.52382321073876, -0.41294965803812655]","[39.515849264032546, -0.45993515488567466]",19.000009009009016,"Carrer Mare Carlota de Santa Teresa, Godella","Calle Villa de Bilbao, Paterna"
2675,"[39.46845019743416, -0.3578215259217794]","[39.45718863878191, -0.3841269632348477]",12.24807807807808,"Carrer d'Antoni Suárez, el Pla del Real, València","Carrer del Metge Esteve, Jesús, València"
2676,"[39.51085507120988, -0.44631736337692085]","[39.50298276003324, -0.41414074587839744]",18.48802702702704,"Acceso Noroeste de Paterna, Paterna","Calle de Espartero, Burjassot"
2677,"[39.530600598806735, -0.38862776942404453]","[39.42242576844811, -0.3957121312680035]",46.83653453453449,"Carrer de Polinyà de Xúquer, Pobles del Nord, València","Avenida del Camí Nou, Benetússer"
2678,"[39.45420482476331, -0.3940216832851793]","[39.525355756750315, -0.3923364706575807]",28.444786786786786,"Avinguda de Gaspar Aguilar, Patraix, València","Camí Fondo de Borbotó a Massarrojos, Pobles del Nord, València"
2679,"[39.44610899679654, -0.3961807338183185]","[39.470572639130225, -0.34789391285929216]",18.23821321321321,"Camí Vell de Picassent, Jesús, València","Carrer de Zarra, Algirós, València"
2680,"[39.48540817768217, -0.39182772583351]","[39.493856299025225, -0.3530682987854535]",25.111756756756748,"Avinguda de Campanar, Campanar, València","Avinguda del Palmaret, Alboraia / Alboraya"
2681,"[39.4703347029734, -0.33042865422259804]","[39.48294455058567, -0.3714715625501782]",15.165837837837834,"Carrer d'Escalante, Poblats Marítims, València","Carrer del Convent dels Carmelites, la Saïdia, València"
2682,"[39.46642347580528, -0.35551980940737404]","[39.500437685101076, -0.34111385630450014]",18.954006006006004,"Avinguda del Port, Camins al Grau, València","Carrer dels Mecànics, Alboraia / Alboraya"
2683,"[39.45219509478394, -0.3960186012802859]","[39.50207035210995, -0.41878690314414563]",21.99706606606607,"Avinguda de Gaspar Aguilar, Patraix, València","Carrer del Miniaturista Messeguer, Pobles de l'Oest, València"
2684,"[39.53283211312176, -0.38836536734820026]","[39.457819732882236, -0.38374648188162686]",29.030255255255245,"Camí Fondo de Benifaraig, Montcada / Moncada","Carretera d'Escrivà, Jesús, València"
2685,"[39.500378617604426, -0.44601036049976744]","[39.517835882185814, -0.41166391340381303]",17.52985885885886,"Avinguda del Testar, Paterna","Calle Santísima Trinidad, Godella"
2686,"[39.50041355893238, -0.38800651607680275]","[39.459335896926284, -0.3789475720420206]",18.851972972972973,"Carril bici Burjassot-Ronda Norte, Pobles del Nord, València","Carrer de les Filipines, l'Eixample, València"
2687,"[39.42249984658735, -0.3970828246429299]","[39.48791798383973, -0.3782208360525773]",31.48891291291293,"Calle Mayor, Benetússer","Avinguda de Portugal, la Saïdia, València"
2688,"[39.468073213470696, -0.3948942429920924]","[39.42242576844811, -0.3957121312680035]",23.39521921921922,"Avinguda del Cid, l'Olivereta, València","Avenida del Camí Nou, Benetússer"
2689,"[39.46723439079767, -0.4131659421856089]","[39.4856381380339, -0.38958375844574433]",11.346741741741742,"Carrer del Pare Esteban Pernet, l'Olivereta, València","Carrer d'Alfons Verdeguer, Campanar, València"
2690,"[39.457293062795415, -0.38053208523065035]","[39.44825787130851, -0.34254902955662764]",13.58866066066066,"Enlace entre estaciones Valencia Norte y Joaquín Sorolla, Extramurs, València","Camí del Valladar, Quatre Carreres, València"
2691,"[39.48051312028915, -0.3856508364880628]","[39.476424669118444, -0.4200315227169521]",11.9614024024024,"Avinguda Menéndez Pidal, Campanar, València","Carrer de Sant Antoni, Mislata"
2692,"[39.44769720127755, -0.39224623419605936]","[39.47074153660004, -0.3371770310757456]",18.819201201201206,"Bulevard Perifèric Sud, Jesús, València","Carrer de Josep Ballester, Poblats Marítims, València"
2693,"[39.48983058163553, -0.3618021235804415]","[39.526155204062505, -0.38605672535783525]",17.10205705705705,"Carrer de Dolores Marqués, Rascanya, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
2694,"[39.49837927089074, -0.35221882913565583]","[39.515050442566796, -0.3870222160616893]",37.2246786786787,"Avinguda del Diví Mestre, Alboraia / Alboraya","Camí de Montcada, Pobles del Nord, València"
2695,"[39.49709003180808, -0.39097160451457763]","[39.459950694682476, -0.35502192623029094]",18.7373993993994,"Carrer de María Fernanda d'Ocón (Actriu), Benicalap, València","Passeig de l'Albereda, Camins al Grau, València"
2696,"[39.46397301220256, -0.3542090817606889]","[39.47393301406303, -0.39158266899932687]",13.087135135135131,"Camí Fondo del Grau, Camins al Grau, València","Carrer de Joan Llorenç, Extramurs, València"
2697,"[39.47480044854671, -0.3398551382239285]","[39.474446021429245, -0.4214563405051009]",24.551165165165163,"Camí del Cabanyal, Algirós, València","Carrer del Braç dels Horts, Mislata"
2698,"[39.51863602581276, -0.47393819336338183]","[39.50349790892483, -0.40679555542978785]",27.62134834834835,"Calle Ciudad de Barcelona, Paterna","Carrer de la Séquia de Montcada, Burjassot"
2699,"[39.46718946451829, -0.4199613027148308]","[39.44856083990475, -0.3380627879520241]",28.358060060060065,"V-30, Xirivella","Carrera del Riu, Quatre Carreres, València"
2700,"[39.50350760929873, -0.4543664725979013]","[39.50416389589935, -0.4121199361441029]",23.102318318318325,[Desconocido],"Avenida Virgen de la Cabeza, Burjassot"
2701,"[39.459489790809926, -0.37955929681491174]","[39.456581668016234, -0.39759463868734324]",10.004603603603606,"Carrer de les Filipines, l'Eixample, València","Carrer dels Campaners, Patraix, València"
2702,"[39.50979695039686, -0.42399070037834424]","[39.51089963574772, -0.46294133096677326]",20.23709009009009,"Avinguda de la Universitat, Burjassot","Calle Islas Baleares, Paterna"
2703,"[39.48529683205275, -0.369123520133334]","[39.421952905246464, -0.383299316001024]",27.401906906906905,"Carrer d'Alboraia, la Saïdia, València","Avenida de la Albufera, Sedaví"
2704,"[39.49825305216758, -0.40971808466742715]","[39.52093330020732, -0.42112379390949795]",12.265996996996996,"Camino de Fondo de Beniferri, Pobles de l'Oest, València","Carrer Moncada, Godella"
2705,"[39.51884479020831, -0.4623393594928827]","[39.51330334143035, -0.41444297271657604]",19.469825825825826,"Calle Ciudad de Alcoy, Paterna","Calle Isabel la Católica, Burjassot"
2706,"[39.465521152725664, -0.3739509296146712]","[39.49583780898948, -0.38283686515904214]",13.308414414414418,"Carrer de Russafa, l'Eixample, València","Carrer del Riu Segre, Benicalap, València"
2707,"[39.46110739421434, -0.3790747694844491]","[39.456631592121724, -0.3996167781437841]",10.152507507507512,"Carrer de Gibraltar, l'Eixample, València","Carrer dels Campaners, Patraix, València"
2708,"[39.46844981311719, -0.32975958414213363]","[39.46773029148358, -0.38336448152641905]",16.681924924924925,"Carrer del Pare Lluís Navarro, Poblats Marítims, València","Gran Via de Ramón y Cajal, Extramurs, València"
2709,"[39.45170639181875, -0.372707439490704]","[39.472552925663386, -0.34324390391375453]",13.034849849849852,"Avinguda d'Ausiàs March, Quatre Carreres, València","Avinguda de Blasco Ibáñez, Algirós, València"
2710,"[39.479807479742604, -0.3558154005217618]","[39.44909505691507, -0.344109588268877]",14.291633633633634,"Plaça de Nelson Mandela, Benimaclet, València","Avinguda de Jesús Morante Borràs, Quatre Carreres, València"
