Coordenadas_inicio,Coordenadas_fin
"[39.54569346910904, -0.39280514913393055]","[39.398568676264254, -0.39914261408134194]"
"[39.44009597702771, -0.47362365264767775]","[39.522645383201144, -0.34955365273514655]"
"[39.55028583031097, -0.3987587355712293]","[39.422970275093384, -0.38642678941402]"
"[39.5209081878738, -0.38320042282217953]","[39.39878589321014, -0.40068709614696385]"
"[39.43827779121957, -0.4709801289577436]","[39.546896638610725, -0.397073038238627]"
"[39.43732045258265, -0.47261183344317464]","[39.53332421464769, -0.378833842268457]"
"[39.51921046026779, -0.4217263061279859]","[39.39755168220085, -0.407190382856656]"
"[39.436162950505356, -0.4734053751853402]","[39.54324110974869, -0.3947814117729767]"
"[39.55027423345744, -0.39533168668226815]","[39.42024956862793, -0.39074254020986476]"
"[39.4043379881495, -0.4123345922313536]","[39.54315492965823, -0.39528303320100394]"
"[39.51679631790058, -0.4617600074413938]","[39.40249143566821, -0.39937790569950965]"
"[39.40098728860476, -0.4053794870889823]","[39.53332421464769, -0.378833842268457]"
"[39.53295693595691, -0.3486782038533845]","[39.426735177181904, -0.46510490729417886]"
"[39.50053759869951, -0.34567965892855074]","[39.43178290390093, -0.4761134353912832]"
"[39.5407373898964, -0.39951442818194655]","[39.41549720491549, -0.3809447893908748]"
"[39.40414523841486, -0.39757358153734546]","[39.54824507404544, -0.3977003519844683]"
"[39.399870527138155, -0.40666825153380054]","[39.5238608136984, -0.382742121519541]"
"[39.54750866336105, -0.394716967544779]","[39.406139097460674, -0.41237320358561264]"
"[39.5385822930925, -0.39950590511872236]","[39.4282805367573, -0.4718480947944809]"
"[39.51623381638072, -0.4683140131289773]","[39.401263634533315, -0.40272463590476726]"
"[39.53424131780824, -0.3466200044369047]","[39.415682649980624, -0.3890848270005051]"
"[39.407967671625975, -0.4010412793763549]","[39.546896638610725, -0.397073038238627]"
"[39.55746414566028, -0.40140952057024337]","[39.403017643132344, -0.4101991398770435]"
"[39.42069759613705, -0.3960025757141194]","[39.54725597669203, -0.40076435797516347]"
"[39.51874927380421, -0.34111312080169287]","[39.40140843734119, -0.405155049348559]"
"[39.54557663512471, -0.3935812789452992]","[39.420313678205176, -0.392976066121816]"
"[39.54326752038719, -0.4013651780655947]","[39.42073316083538, -0.39822949069005414]"
"[39.42802573070274, -0.4638802357708295]","[39.5418585059942, -0.3977141759375267]"
"[39.43495809618032, -0.47089970954610333]","[39.529270342825825, -0.34289994210424035]"
"[39.543167702825365, -0.3932065556140217]","[39.431114685145666, -0.47416470825544665]"
"[39.44818271146487, -0.33903931391344194]","[39.51786609832055, -0.47557319877328336]"
"[39.547446498321264, -0.39763071199641037]","[39.40718190607405, -0.4019132380903986]"
"[39.521632392049405, -0.34564949125212785]","[39.433316381901925, -0.46953528132260997]"
"[39.549346912339786, -0.39573031267186615]","[39.432229259469956, -0.46661130707332316]"
"[39.54691400247709, -0.403706016128022]","[39.4140330359921, -0.3925313391961776]"
"[39.41885811011688, -0.393021983257689]","[39.54913087557153, -0.3914815355177425]"
"[39.51538097801862, -0.4539113972914433]","[39.39786918438939, -0.40394795125271277]"
"[39.53295693595691, -0.3486782038533845]","[39.41545479842179, -0.39054877260657395]"
"[39.5517023772746, -0.39394431688251935]","[39.43415871227312, -0.4700990081200287]"
"[39.42854119165904, -0.4238631392787382]","[39.54910683111174, -0.39265537846292453]"
"[39.52680512912844, -0.3467317371777321]","[39.436162950505356, -0.4734053751853402]"
"[39.50576726638944, -0.35542562350601886]","[39.431284914290465, -0.4771996974786686]"
"[39.546543036974725, -0.39448961612666694]","[39.399885219072665, -0.39678627038024467]"
"[39.400420466948844, -0.40232756927091806]","[39.525194474611894, -0.41959205345245826]"
"[39.44009597702771, -0.47362365264767775]","[39.52902519941773, -0.3469581164249048]"
"[39.52479231191479, -0.38624616414994184]","[39.39533056170972, -0.39576036027534084]"
"[39.43277586067825, -0.4652558145747955]","[39.52686610631602, -0.3526669864614221]"
"[39.47466879695125, -0.3296200082865076]","[39.42813528184649, -0.4772670877640448]"
"[39.54574467422274, -0.39461374413564443]","[39.42317885056456, -0.4016938265574159]"
"[39.51999596163875, -0.340187077127603]","[39.44138038755268, -0.4687266129885807]"
"[39.403151854540496, -0.404075420042824]","[39.5167152158014, -0.4585603267530301]"
"[39.53057352728355, -0.35462923723965367]","[39.429364984248856, -0.4597052335695194]"
"[39.4313079354653, -0.41942387223662425]","[39.55099714553373, -0.39237705738338685]"
"[39.40718190607405, -0.4019132380903986]","[39.53090645507136, -0.35245559596912]"
"[39.516727656068, -0.4117280635610266]","[39.39460500414015, -0.4054884815638184]"
"[39.40627407163574, -0.4045397683821774]","[39.54836237846892, -0.3946552084124562]"
"[39.4340235455306, -0.46516576182591896]","[39.553930090770606, -0.39973813226536004]"
"[39.53760027857757, -0.35662344267285395]","[39.4340235455306, -0.46516576182591896]"
"[39.40560730873259, -0.4026546709675813]","[39.526896381664855, -0.3438781734719812]"
"[39.399077744392315, -0.4072002565943866]","[39.539975285636714, -0.3945827391891656]"
"[39.414625710853905, -0.39298336643759485]","[39.53110719123404, -0.3440165885846898]"
"[39.41929260107422, -0.39427319104963404]","[39.543167702825365, -0.3932065556140217]"
"[39.40060972114896, -0.40053121246402557]","[39.51614999650855, -0.4635452705350457]"
"[39.431284914290465, -0.4771996974786686]","[39.527550318052114, -0.38255954113842816]"
"[39.423877671457795, -0.4228754158866002]","[39.54489063450191, -0.40125538670750127]"
"[39.437044371823774, -0.474384449171685]","[39.53362640982559, -0.3801289787796728]"
"[39.55190649958408, -0.3979762473501503]","[39.41921962582327, -0.3934771993757876]"
"[39.532169746917106, -0.3533941884762618]","[39.40471367773695, -0.4016108439984623]"
"[39.40560730873259, -0.4026546709675813]","[39.54531312548228, -0.3918513015486752]"
"[39.51481938841191, -0.4641684242480446]","[39.398264167566616, -0.3971240158088995]"
"[39.52635833538982, -0.3538849340178686]","[39.40553985243058, -0.407855673540257]"
"[39.51815019249742, -0.4623965561343819]","[39.44223627928272, -0.33664272225541275]"
"[39.42438436951662, -0.39879464555395894]","[39.54495241593656, -0.399275569671597]"
"[39.52100617391903, -0.4644969666149888]","[39.39863098323907, -0.39815601425468466]"
"[39.54197749278253, -0.3962581615754833]","[39.40702999884635, -0.40414352654777436]"
"[39.40419064645798, -0.4072015680247323]","[39.51600294508381, -0.46655586039565095]"
"[39.43344701716507, -0.4706503356838954]","[39.52199891363963, -0.35358539371807257]"
"[39.539975285636714, -0.3945827391891656]","[39.395897844997684, -0.39982226106287605]"
"[39.43389497872338, -0.4734428324019153]","[39.545011323443056, -0.38902930331019947]"
"[39.52907069435053, -0.3559209505868975]","[39.43663708510587, -0.47425793922994597]"
"[39.43498192268241, -0.4787377584840876]","[39.52485200754664, -0.35187360898003656]"
"[39.551063958023086, -0.3957120664116806]","[39.428633459918586, -0.3971510783390655]"
"[39.51192990904663, -0.3480693254712211]","[39.437044371823774, -0.474384449171685]"
"[39.546896638610725, -0.397073038238627]","[39.42275144662803, -0.3961117933061668]"
"[39.521632392049405, -0.34564949125212785]","[39.3979229690769, -0.40666353961869384]"
"[39.42024956862793, -0.39074254020986476]","[39.54910683111174, -0.39265537846292453]"
"[39.53090645507136, -0.35245559596912]","[39.42802573070274, -0.4638802357708295]"
"[39.5266957894957, -0.37628000863500904]","[39.39587589176299, -0.41192610391632256]"
"[39.515960419950346, -0.46241233394911774]","[39.399460962918106, -0.40641561157875034]"
"[39.39986011794258, -0.3987493085356811]","[39.5238608136984, -0.382742121519541]"
"[39.51462975500611, -0.4164142678486903]","[39.39533056170972, -0.39576036027534084]"
"[39.398191736811214, -0.4167385510887538]","[39.513646674551936, -0.36900688162088724]"
"[39.548379467960906, -0.38883222920281074]","[39.415682649980624, -0.3890848270005051]"
"[39.43449747007856, -0.46662186909892767]","[39.52354753409302, -0.3443074284435152]"
"[39.419944078108145, -0.3899979035713188]","[39.54257019661765, -0.3968386820809661]"
"[39.54349326425908, -0.4008743455447512]","[39.397606529485465, -0.3969846860744717]"
"[39.398191736811214, -0.4167385510887538]","[39.519883049172094, -0.3935288152371383]"
"[39.54326752038719, -0.4013651780655947]","[39.422507022613686, -0.39579759295938727]"
"[39.397606529485465, -0.3969846860744717]","[39.52219315132599, -0.385398434816356]"
"[39.42022078015398, -0.39112079274419526]","[39.55028583031097, -0.3987587355712293]"
"[39.54605755528356, -0.3990870553608558]","[39.39878589321014, -0.40068709614696385]"
"[39.549346912339786, -0.39573031267186615]","[39.40817717743016, -0.39713857169555905]"
"[39.426696700463644, -0.47164677946987665]","[39.54574467422274, -0.39461374413564443]"
"[39.545047067784786, -0.398673093653453]","[39.40249143566821, -0.39937790569950965]"
"[39.55028583031097, -0.3987587355712293]","[39.40531638527994, -0.4019197013276876]"
"[39.43476597832316, -0.46891196657964684]","[39.54750866336105, -0.394716967544779]"
"[39.42017887387528, -0.39432336930209905]","[39.551063958023086, -0.3957120664116806]"
"[39.42769118653595, -0.47025047285498384]","[39.543648632648036, -0.39756039107291097]"
"[39.41912462700105, -0.38417351005005124]","[39.54257019661765, -0.3968386820809661]"
"[39.40107646279137, -0.4050829927637215]","[39.520627203952785, -0.38735037574955744]"
"[39.50971631998921, -0.3479248478676288]","[39.4289006755338, -0.4686255999196735]"
"[39.54259630618323, -0.3972424868265073]","[39.42328576299594, -0.4281407497488284]"
"[39.54913087557153, -0.3914815355177425]","[39.43253667771187, -0.46033292806525195]"
"[39.42813528184649, -0.4772670877640448]","[39.52824545014758, -0.3459030843663431]"
"[39.531636796014396, -0.35244726743595695]","[39.436360587826336, -0.4747341182270032]"
"[39.40560730873259, -0.4026546709675813]","[39.528278266665005, -0.38555817755762073]"
"[39.54214295277189, -0.3978158822688288]","[39.42097066765097, -0.39147708900389117]"
"[39.41066146992267, -0.40187494802893925]","[39.547281574091386, -0.39506047200760114]"
"[39.39786918438939, -0.40394795125271277]","[39.532169746917106, -0.3533941884762618]"
"[39.41675257441788, -0.393342564476371]","[39.54505955881226, -0.3981004197074211]"
"[39.400824451271475, -0.3992380558771404]","[39.54054890641578, -0.4017812559607246]"
"[39.534571174885485, -0.34954993391084216]","[39.39753695230372, -0.39889817894891205]"
"[39.39891211959817, -0.40232496642662946]","[39.54877550393352, -0.39730087546064446]"
"[39.521178730639036, -0.4691900204096147]","[39.45894651926283, -0.33040038935095967]"
"[39.398264167566616, -0.3971240158088995]","[39.52132819969902, -0.3912123053091694]"
"[39.40728134862355, -0.3988385077731646]","[39.539234311354534, -0.39847928918329983]"
"[39.40107775161937, -0.39681620103700954]","[39.5266957894957, -0.37628000863500904]"
"[39.43676419740531, -0.4685643327987887]","[39.52811938301254, -0.3545427399378661]"
"[39.44980842544018, -0.3304397147428729]","[39.52220991301255, -0.4683848349341491]"
"[39.404041046421774, -0.40787143755884325]","[39.522645383201144, -0.34955365273514655]"
"[39.51209382391906, -0.3610654351298232]","[39.39597612402351, -0.40626034020532653]"
"[39.549246456713824, -0.3933452214261512]","[39.43193428855177, -0.43010575044772265]"
"[39.40342526561843, -0.4036847422445982]","[39.542748715204745, -0.3976740027806766]"
"[39.450822490976535, -0.3233620523919188]","[39.43410340333957, -0.478409289053137]"
"[39.418918805346394, -0.39365849843529055]","[39.54595694083642, -0.39823353283450125]"
"[39.52019351084597, -0.45917597694203366]","[39.40455602856859, -0.4011873949178396]"
"[39.528278266665005, -0.38555817755762073]","[39.395897844997684, -0.39982226106287605]"
"[39.40419064645798, -0.4072015680247323]","[39.52724425873456, -0.3808076378845261]"
"[39.45272417762394, -0.33052891950157726]","[39.51699028301163, -0.4630721437324131]"
"[39.41885284600347, -0.39569522495893356]","[39.54103781943176, -0.3990208252909187]"
"[39.39753001111223, -0.41027905816489396]","[39.5213458549115, -0.4652029233672976]"
"[39.531147462885144, -0.3478850281633355]","[39.415447653410155, -0.39636358682608297]"
"[39.44009597702771, -0.47362365264767775]","[39.53963356433503, -0.3399760922312]"
"[39.52600033225322, -0.3453700836920338]","[39.43495809618032, -0.47089970954610333]"
"[39.43154086749556, -0.4769828439502539]","[39.52829719573668, -0.35095232361438855]"
"[39.44592098191193, -0.3329446425502683]","[39.52051298840666, -0.46308032982417113]"
"[39.54349326425908, -0.4008743455447512]","[39.416864919688315, -0.3950032237765783]"
"[39.39533056170972, -0.39576036027534084]","[39.536227291852754, -0.4041139363055994]"
"[39.53628879364195, -0.3558784889546412]","[39.431284914290465, -0.4771996974786686]"
"[39.400420466948844, -0.40232756927091806]","[39.53246297306236, -0.35642978904413064]"
"[39.52771265286643, -0.34241117898122914]","[39.405144619121806, -0.4000749050338977]"
"[39.405477835821145, -0.40485813981888097]","[39.54355574582898, -0.39539546968864797]"
"[39.43554138957863, -0.4657423065972868]","[39.53278899517425, -0.34680496640454417]"
"[39.436360587826336, -0.4747341182270032]","[39.53147891115288, -0.3546070926893744]"
"[39.549246456713824, -0.3933452214261512]","[39.43287610799104, -0.46575230493332875]"
"[39.45000153465276, -0.3295264480900167]","[39.527408418748934, -0.4649085488318755]"
"[39.52569187022962, -0.38111525638798655]","[39.40107775161937, -0.39681620103700954]"
"[39.512655898211555, -0.4646905043192273]","[39.401263634533315, -0.40272463590476726]"
"[39.51835636107855, -0.3872861563001813]","[39.39533056170972, -0.39576036027534084]"
"[39.43216700267051, -0.4658670152997476]","[39.54283349143927, -0.39901037868045125]"
"[39.51747445447959, -0.41560504608099563]","[39.397606529485465, -0.3969846860744717]"
"[39.55099714553373, -0.39237705738338685]","[39.42416687305574, -0.38902913759180674]"
"[39.44516416112566, -0.3311317927016207]","[39.51759158073415, -0.4729373923558666]"
"[39.51486213841434, -0.46778218163029006]","[39.44217756160574, -0.32264748781482]"
"[39.423877671457795, -0.4228754158866002]","[39.545047067784786, -0.398673093653453]"
"[39.39977048809533, -0.406575148478769]","[39.521776851496334, -0.4151821769735601]"
"[39.52513846866298, -0.39592570942928695]","[39.40042737938735, -0.39467236529378147]"
"[39.44956886299207, -0.3264078668402115]","[39.51812389313061, -0.469895314920064]"
"[39.51929376188356, -0.41712223109165186]","[39.39460500414015, -0.4054884815638184]"
"[39.43752233113114, -0.47031839085626015]","[39.545780131190234, -0.39695383774313814]"
"[39.516206947520025, -0.46492661971763016]","[39.44914093671034, -0.33532684805897256]"
"[39.39547356708542, -0.39725117203010546]","[39.51355267665458, -0.36063273633034826]"
"[39.44922700827402, -0.3335898255721378]","[39.51879824385062, -0.4626936288730346]"
"[39.530265621561284, -0.35417798586977806]","[39.43389497872338, -0.4734428324019153]"
"[39.52164766904178, -0.45848735261788165]","[39.39486950058906, -0.4090277365563346]"
"[39.53118287360636, -0.3485815360947845]","[39.39587589176299, -0.41192610391632256]"
"[39.522777120462955, -0.3807036021715759]","[39.40123026754632, -0.40418089229623017]"
"[39.403017643132344, -0.4101991398770435]","[39.549346912339786, -0.39573031267186615]"
"[39.54875902806461, -0.3949984182526597]","[39.43132137017162, -0.4690211802015263]"
"[39.54605755528356, -0.3990870553608558]","[39.40290943194442, -0.40502345615098523]"
"[39.40722535334108, -0.40242979845090276]","[39.54913087557153, -0.3914815355177425]"
"[39.51505863889013, -0.469698224605178]","[39.44776673972776, -0.3340947123929017]"
"[39.39953880578661, -0.40146428191343697]","[39.51853175731094, -0.4582225083936207]"
"[39.54684965838798, -0.3998484681596978]","[39.43663708510587, -0.47425793922994597]"
"[39.40098728860476, -0.4053794870889823]","[39.52824545014758, -0.3459030843663431]"
"[39.54272312893839, -0.39336980904926167]","[39.41545479842179, -0.39054877260657395]"
"[39.399444498956335, -0.39754856354449997]","[39.52079503716763, -0.46209185905170724]"
"[39.527408418748934, -0.4649085488318755]","[39.44191301368272, -0.3315855316156055]"
"[39.51587634623067, -0.41713289694256284]","[39.39688091713051, -0.39425381924746966]"
"[39.543301213774214, -0.38911921590793797]","[39.42097066765097, -0.39147708900389117]"
"[39.40218418240248, -0.4033568155122907]","[39.52635833538982, -0.3538849340178686]"
"[39.39533056170972, -0.39576036027534084]","[39.52533698416368, -0.38144617717705737]"
"[39.55190649958408, -0.3979762473501503]","[39.42416181815134, -0.38561363296114864]"
"[39.40290943194442, -0.40502345615098523]","[39.5418585059942, -0.3977141759375267]"
"[39.5156327675331, -0.41401539152714795]","[39.39547356708542, -0.39725117203010546]"
"[39.53067741742397, -0.34602528893601137]","[39.43504722680584, -0.46422865462206014]"
"[39.520238878775075, -0.41767258638047344]","[39.39587589176299, -0.41192610391632256]"
"[39.542272877980295, -0.39434672838779017]","[39.42279961783144, -0.43240754670956266]"
"[39.407967671625975, -0.4010412793763549]","[39.53760027857757, -0.35662344267285395]"
"[39.419860335230055, -0.388130236481549]","[39.54913087557153, -0.3914815355177425]"
"[39.405144619121806, -0.4000749050338977]","[39.528546750309424, -0.3450633789999961]"
"[39.429364984248856, -0.4597052335695194]","[39.529890290655416, -0.3446547085328336]"
"[39.40084882448056, -0.39377651264365887]","[39.50777355054805, -0.4664632351031244]"
"[39.529611429267064, -0.34283518619475584]","[39.39868047246373, -0.4015309084072121]"
"[39.532158904563715, -0.34030331428949606]","[39.394314640129515, -0.4062900486490244]"
"[39.52527406994326, -0.38297356022325985]","[39.40627407163574, -0.4045397683821774]"
"[39.529270342825825, -0.34289994210424035]","[39.40290943194442, -0.40502345615098523]"
"[39.52479231191479, -0.38624616414994184]","[39.40098728860476, -0.4053794870889823]"
"[39.44922700827402, -0.3335898255721378]","[39.52292990476331, -0.459063940465615]"
"[39.51679631790058, -0.4617600074413938]","[39.44980842544018, -0.3304397147428729]"
"[39.5238608136984, -0.382742121519541]","[39.40084882448056, -0.39377651264365887]"
"[39.39873938327394, -0.39462762485408726]","[39.52179216004395, -0.34953528798418837]"
"[39.52332814819867, -0.3853051224293237]","[39.40212464660424, -0.40698680227185263]"
"[39.53067741742397, -0.34602528893601137]","[39.43389497872338, -0.4734428324019153]"
"[39.410081569129204, -0.4011926035056124]","[39.543317314653116, -0.3969429496159682]"
"[39.40042737938735, -0.39467236529378147]","[39.52219315132599, -0.385398434816356]"
"[39.534597081749254, -0.40395422517257357]","[39.39796428624887, -0.398125634665853]"
"[39.52682931383347, -0.35080045668513304]","[39.39891211959817, -0.40232496642662946]"
"[39.40767080505502, -0.4006112165919905]","[39.54875902806461, -0.3949984182526597]"
"[39.43410340333957, -0.478409289053137]","[39.546896638610725, -0.397073038238627]"
"[39.39688091713051, -0.39425381924746966]","[39.51756623945186, -0.4231186800069316]"
"[39.394314640129515, -0.4062900486490244]","[39.54582650649189, -0.3933965803087139]"
"[39.4282805367573, -0.4718480947944809]","[39.54595694083642, -0.39823353283450125]"
"[39.51922383638019, -0.42158011581199584]","[39.39916220006564, -0.4029669334657253]"
"[39.40248083315647, -0.3957414717917019]","[39.54103781943176, -0.3990208252909187]"
"[39.52179216004395, -0.34953528798418837]","[39.43344701716507, -0.4706503356838954]"
"[39.4140330359921, -0.3925313391961776]","[39.53143258901457, -0.35471645745707586]"
"[39.52275073496924, -0.34301648375593125]","[39.43476597832316, -0.46891196657964684]"
"[39.53195533031454, -0.34829494204873523]","[39.43189307986651, -0.4683532399838482]"
"[39.543167702825365, -0.3932065556140217]","[39.40084882448056, -0.39377651264365887]"
"[39.53257258877801, -0.3549837946988927]","[39.41579575137313, -0.40081291631463056]"
"[39.51894374801285, -0.4613515205988704]","[39.399240740206544, -0.40122126517661105]"
"[39.40060972114896, -0.40053121246402557]","[39.52085081304093, -0.46393185303372836]"
"[39.511755325245105, -0.46311114233030237]","[39.44524472558502, -0.3321205780800823]"
"[39.39916220006564, -0.4029669334657253]","[39.519242313804305, -0.35920299922745863]"
"[39.4356126286363, -0.4694289654655505]","[39.54641885846181, -0.3944601992732235]"
"[39.51505863889013, -0.469698224605178]","[39.40471367773695, -0.4016108439984623]"
"[39.547446498321264, -0.39763071199641037]","[39.40957299779509, -0.4030496844188387]"
"[39.54557663512471, -0.3935812789452992]","[39.40107775161937, -0.39681620103700954]"
"[39.44962339842392, -0.33412492671981087]","[39.518665374283444, -0.4637704766011262]"
"[39.54283349143927, -0.39901037868045125]","[39.407967671625975, -0.4010412793763549]"
"[39.44990097910292, -0.3327278341010168]","[39.51516242411747, -0.46463517498768275]"
"[39.46247079969724, -0.32614627719237205]","[39.52085081304093, -0.46393185303372836]"
"[39.399240740206544, -0.40122126517661105]","[39.53681295082609, -0.34529173468790375]"
"[39.40767080505502, -0.4006112165919905]","[39.52879349965638, -0.37665423200011255]"
"[39.553930090770606, -0.39973813226536004]","[39.39916220006564, -0.4029669334657253]"
"[39.44635310175575, -0.3264821832692855]","[39.51679631790058, -0.4617600074413938]"
"[39.543932573973606, -0.39072757055803686]","[39.406360958551204, -0.4070618833126017]"
"[39.44133021186918, -0.46614917217254237]","[39.531147462885144, -0.3478850281633355]"
"[39.43918632654782, -0.4791982228293939]","[39.538572582300986, -0.39185798928753557]"
"[39.439895787668604, -0.33710979325428253]","[39.51350611867057, -0.46819581214941497]"
"[39.516206947520025, -0.46492661971763016]","[39.44583582571517, -0.33128529435178583]"
"[39.52972595808295, -0.33734197925854703]","[39.39755168220085, -0.407190382856656]"
"[39.51868133982949, -0.408131527733043]","[39.39796428624887, -0.398125634665853]"
"[39.39597612402351, -0.40626034020532653]","[39.54574467422274, -0.39461374413564443]"
"[39.525634469751814, -0.3490310512201316]","[39.39755168220085, -0.407190382856656]"
"[39.52382540352109, -0.4672983347190616]","[39.39796428624887, -0.398125634665853]"
"[39.436046672306446, -0.46972700112010185]","[39.545780131190234, -0.39695383774313814]"
"[39.400321564470154, -0.4110027778282725]","[39.523280102895995, -0.3875183921523197]"
"[39.430897137217755, -0.4219633447681656]","[39.55027423345744, -0.39533168668226815]"
"[39.415809293229394, -0.39179310278609597]","[39.54471561891034, -0.39835239514390286]"
"[39.53090645507136, -0.35245559596912]","[39.39878589321014, -0.40068709614696385]"
"[39.521115044356804, -0.39045128755765784]","[39.401263634533315, -0.40272463590476726]"
"[39.39977048809533, -0.406575148478769]","[39.522458092119024, -0.38453142092304665]"
"[39.39587589176299, -0.41192610391632256]","[39.521455725112446, -0.41692741686260826]"
"[39.4568977870116, -0.4726301514820888]","[39.51999596163875, -0.340187077127603]"
"[39.438302680253756, -0.47020126677122087]","[39.529270342825825, -0.34289994210424035]"
"[39.43178290390093, -0.4761134353912832]","[39.52970843576125, -0.34684085337276566]"
"[39.51999039571137, -0.46890746981704634]","[39.39486950058906, -0.4090277365563346]"
"[39.52641669809946, -0.35297043762060726]","[39.43468147036507, -0.47002448100411837]"
"[39.53118287360636, -0.3485815360947845]","[39.43277586067825, -0.4652558145747955]"
"[39.525215324648656, -0.3526880017178849]","[39.40060972114896, -0.40053121246402557]"
"[39.46970816454249, -0.3292992207295563]","[39.42813528184649, -0.4772670877640448]"
"[39.419860335230055, -0.388130236481549]","[39.546157148751874, -0.39278299045722537]"
"[39.45949193781465, -0.3288583337309426]","[39.51878173242929, -0.4659674727099253]"
"[39.52029214128759, -0.418195976321516]","[39.40107775161937, -0.39681620103700954]"
"[39.51493586092905, -0.4661140590464231]","[39.45272417762394, -0.33052891950157726]"
"[39.547446498321264, -0.39763071199641037]","[39.40728134862355, -0.3988385077731646]"
"[39.543932573973606, -0.39072757055803686]","[39.43034892100758, -0.48138478574295895]"
"[39.54505955881226, -0.3981004197074211]","[39.432229259469956, -0.46661130707332316]"
"[39.422139751517584, -0.392416660501139]","[39.54315492965823, -0.39528303320100394]"
"[39.51192990904663, -0.3480693254712211]","[39.39460500414015, -0.4054884815638184]"
"[39.42305469154371, -0.3947144771755987]","[39.54673196958613, -0.39662815355660974]"
"[39.43116975214079, -0.4273780960506893]","[39.54913087557153, -0.3914815355177425]"
"[39.441963418635936, -0.3354894765120754]","[39.50777355054805, -0.4664632351031244]"
"[39.400321564470154, -0.4110027778282725]","[39.515912548940925, -0.46010044807124145]"
"[39.39796428624887, -0.398125634665853]","[39.52527406994326, -0.38297356022325985]"
"[39.426942873042485, -0.4328188207593924]","[39.5441935849698, -0.3959282057174765]"
"[39.46019300424922, -0.32611604830901797]","[39.52085081304093, -0.46393185303372836]"
"[39.400321564470154, -0.4110027778282725]","[39.526408277495776, -0.3835257786170865]"
"[39.532864418286046, -0.3862823865428556]","[39.40140843734119, -0.405155049348559]"
"[39.521632392049405, -0.34564949125212785]","[39.43389497872338, -0.4734428324019153]"
"[39.43389497872338, -0.4734428324019153]","[39.5407373898964, -0.39951442818194655]"
"[39.398191736811214, -0.4167385510887538]","[39.53359386874004, -0.3824534533606579]"
"[39.434508224802144, -0.4752898986559559]","[39.55746414566028, -0.40140952057024337]"
"[39.434083775311215, -0.4648399792101332]","[39.51874927380421, -0.34111312080169287]"
"[39.40419064645798, -0.4072015680247323]","[39.55746414566028, -0.40140952057024337]"
"[39.43349146694814, -0.46990883350784396]","[39.53104444351681, -0.35182588328801817]"
"[39.519888908741045, -0.4281656645431635]","[39.400824451271475, -0.3992380558771404]"
"[39.435929604440915, -0.4655129630417539]","[39.52680512912844, -0.3467317371777321]"
"[39.54817687535043, -0.3966659608649792]","[39.436515218795094, -0.467651452661408]"
"[39.403151854540496, -0.404075420042824]","[39.53363806585294, -0.38378212947527995]"
"[39.39597612402351, -0.40626034020532653]","[39.53628879364195, -0.3558784889546412]"
"[39.43468147036507, -0.47002448100411837]","[39.52485200754664, -0.35187360898003656]"
"[39.43569957144383, -0.46676423320749344]","[39.53681295082609, -0.34529173468790375]"
"[39.54214295277189, -0.3978158822688288]","[39.40060972114896, -0.40053121246402557]"
"[39.42793921796137, -0.4719766063130607]","[39.52354753409302, -0.3443074284435152]"
"[39.50706044418806, -0.35221951253515116]","[39.42555546354461, -0.4744160208246085]"
"[39.39878589321014, -0.40068709614696385]","[39.545780131190234, -0.39695383774313814]"
"[39.40160105738219, -0.40735626531972485]","[39.52324911888373, -0.4167772187659234]"
"[39.543317314653116, -0.3969429496159682]","[39.413781138955684, -0.3911937504574964]"
"[39.52219315132599, -0.385398434816356]","[39.39547356708542, -0.39725117203010546]"
"[39.54641885846181, -0.3944601992732235]","[39.39587589176299, -0.41192610391632256]"
"[39.527408418748934, -0.4649085488318755]","[39.406360958551204, -0.4070618833126017]"
"[39.512655898211555, -0.4646905043192273]","[39.44570886859571, -0.33356355786925523]"
"[39.41066146992267, -0.40187494802893925]","[39.531636796014396, -0.35244726743595695]"
"[39.52829719573668, -0.35095232361438855]","[39.44133021186918, -0.46614917217254237]"
"[39.39891211959817, -0.40232496642662946]","[39.54019014739548, -0.4004947834365392]"
"[39.50148281164132, -0.3480673664356471]","[39.426696700463644, -0.47164677946987665]"
"[39.394314640129515, -0.4062900486490244]","[39.53394705998222, -0.3621741126395452]"
"[39.42333896874085, -0.4219118056201243]","[39.54836237846892, -0.3946552084124562]"
"[39.403151854540496, -0.404075420042824]","[39.531636796014396, -0.35244726743595695]"
"[39.54257019661765, -0.3968386820809661]","[39.40658799316457, -0.4023702855141005]"
"[39.52680512912844, -0.3467317371777321]","[39.4044556853017, -0.40181834397904376]"
"[39.39460500414015, -0.4054884815638184]","[39.504874939974705, -0.34220001600238276]"
"[39.55746414566028, -0.40140952057024337]","[39.42725819657447, -0.38176582237936774]"
"[39.54673196958613, -0.39662815355660974]","[39.421203604030794, -0.39646208787422227]"
"[39.53246297306236, -0.35642978904413064]","[39.39587589176299, -0.41192610391632256]"
"[39.39755168220085, -0.407190382856656]","[39.52692784606557, -0.3853026720638437]"
"[39.42854119165904, -0.4238631392787382]","[39.55196142426833, -0.3930455863699091]"
"[39.52811938301254, -0.3545427399378661]","[39.404041046421774, -0.40787143755884325]"
"[39.54582650649189, -0.3933965803087139]","[39.427421992232496, -0.42073965335264635]"
"[39.515912548940925, -0.46010044807124145]","[39.39977048809533, -0.406575148478769]"
"[39.39460500414015, -0.4054884815638184]","[39.51894374801285, -0.4613515205988704]"
